runId,startedAtUtc,startedAtParis,finishedAtUtc,status,error,network,cycleType,model,strategyVersion,configPreset,marketSnapshotId,llmQueryId
19206d27-1c86-4cad-a447-810484534f89,2026-05-26T07:52:59.523Z,2026-05-26 09:52:59,2026-05-26T07:52:59.779Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1833,
1f07ba89-0fdc-4cc4-83a3-c30417e05214,2026-05-26T07:55:30.122Z,2026-05-26 09:55:30,2026-05-26T07:55:30.393Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1834,
1abb21f3-cbd4-4188-8fa7-e69672bdfc9c,2026-05-26T07:57:59.475Z,2026-05-26 09:57:59,2026-05-26T07:58:00.381Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1835,
4f333d3a-e971-470c-a832-510552f6d6df,2026-05-26T08:00:29.836Z,2026-05-26 10:00:29,2026-05-26T08:00:30.105Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1836,
e33f83df-c95f-4350-b84b-548a6eed2951,2026-05-26T08:03:00.324Z,2026-05-26 10:03:00,2026-05-26T08:03:00.584Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1837,
c016ff38-be35-42fd-b61e-22faef8d377e,2026-05-26T08:05:29.715Z,2026-05-26 10:05:29,2026-05-26T08:05:30.028Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1838,
64af4ffe-f9fd-40c2-adeb-5665c656f679,2026-05-26T08:07:59.973Z,2026-05-26 10:07:59,2026-05-26T08:08:00.292Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1839,
43c97b43-2883-419f-8cbb-f42a4a2f5687,2026-05-26T08:10:29.374Z,2026-05-26 10:10:29,2026-05-26T08:10:29.646Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1840,
f816d77a-c12f-41b7-8bab-b50895d38382,2026-05-26T08:13:00.131Z,2026-05-26 10:13:00,2026-05-26T08:13:00.393Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1841,
46068944-5bf7-46de-9aff-674c711c8bf4,2026-05-26T08:15:30.930Z,2026-05-26 10:15:30,2026-05-26T08:15:31.277Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1842,
68de5c1d-a468-41ca-8146-e2bea293e39c,2026-05-26T08:17:59.885Z,2026-05-26 10:17:59,2026-05-26T08:18:00.340Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1843,
66173319-c144-431c-b472-ca04f8419521,2026-05-26T08:20:29.642Z,2026-05-26 10:20:29,2026-05-26T08:20:30.117Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1844,
31d3a274-9614-4531-a3f2-6e7107da2965,2026-05-26T08:22:59.442Z,2026-05-26 10:22:59,2026-05-26T08:22:59.700Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1845,
