lifecycleId,symbol,side,status,playbook,entryReasonCode,openedAtUtc,openedAtParis,closedAtUtc,closedAtParis,holdMinutes,entryPrice,exitPrice,sizeOpened,sizeClosed,notionalUsd,grossExitBps,mfeBps,maeBps,givebackPct,openWasGreenNowRed,openLateGiveback,closedGreenToRed,closedLateGiveback,grossRealizedPnl,fees,netRealizedPnl,winner,closeAction,closeReasonCode,closeAttemptStatus,attributionMethod,attributedDecisionIds,attributedOrderAttemptIds,openFillIds,closeFillIds
936d4e41-cf9a-4c0f-9b36-7ae9533a247c,SUI-PERP,long,CLOSED,Mean Reversion:long,mean_reversion_edge,2026-05-26T08:35:54.759Z,2026-05-26 10:35:54,2026-05-26T08:37:58.205Z,2026-05-26 10:37:58,2.057,1.0293,1.032,11,11,11.3223,26.2314,,,,false,false,false,false,0.0297,0.009795,0.019905,true,TAKE_PROFIT_TRIGGERED,TAKE_PROFIT,FILLED_FROM_SYNC,ORDER_ID,832d688e-2829-4a45-b854-4aa30623efd0,26f2a6dd-c4f4-4e33-9fe8-41233e2792bc|c76a6670-da27-444d-8b16-287bc39bf666,36826595-42fd-4cb3-863e-874c9984737d,82194299-4104-41e1-aba3-7da00ae60342
4a7d9453-e113-41eb-9ba9-f4143d2a26ea,ETH-PERP,long,CLOSED,Momentum:long,momentum_edge,2026-05-26T10:32:02.882Z,2026-05-26 12:32:02,2026-05-26T10:36:43.757Z,2026-05-26 12:36:43,4.681,2125,2129.5,0.0106,0.0106,22.525,21.1765,-9.4118,-16,,false,false,false,false,0.0477,0.019481,0.028219,true,TAKE_PROFIT_TRIGGERED,TAKE_PROFIT,FILLED_FROM_SYNC,ORDER_ID,238e9415-6b87-4210-9526-1b63473b4b90,55eb6be9-603a-4b7b-b27b-4da77e8b3b72|bfb590c6-257a-4ff4-b148-4c9765d07007,d20336b9-67f4-4d22-b3fd-c7d29283b9a2,0426753e-4978-4f70-b63e-e86ba1ee8fd4
fd32030d-a74f-499a-91c2-eae22217f2ce,BTC-PERP,long,CLOSED,Mean Reversion:long,mean_reversion_edge,2026-05-26T14:33:49.869Z,2026-05-26 16:33:49,2026-05-26T14:35:41.187Z,2026-05-26 16:35:41,1.855,77551,77458,0.00029,0.00029,22.4898,-11.9921,,,,false,false,false,false,-0.02697,0.019418,-0.046388,false,STOP_LOSS_TRIGGERED,STOP_LOSS,FILLED_FROM_SYNC,ORDER_ID,4b2da4c3-bef6-44fe-bea4-352e9ea80335,2a0c291d-71ac-4388-a7d6-f1944a06628e|a9245983-e6ad-4bfc-8115-21267587c133,41774179-11cc-471b-981f-71834884f92f,15d32540-708c-4911-8b29-ef7319d3fdf8
e77fe5c0-170b-4908-86fc-51cebaba1eea,BTC-PERP,long,CLOSED,Mean Reversion:long,mean_reversion_edge,2026-05-26T14:37:20.986Z,2026-05-26 16:37:20,2026-05-26T14:37:23.645Z,2026-05-26 16:37:23,0.044,77269,77286,0.00015,0.00015,11.5903,2.2001,3.6237,3.6237,277.7383,false,false,false,false,0.00255,0.010015,-0.007465,false,STOP_LOSS_TRIGGERED,STOP_LOSS,FILLED_FROM_SYNC,ORDER_ID,653b28d5-b631-4b95-8009-3ee8d4d3d699,7e74a043-272c-4698-9c24-f84fe553a4b7|33335198-3eca-4061-a7a2-e0b112bb0fb4,e2cafa42-f520-42bf-8cc5-07a3f758f27d,b92929a4-fee0-4f47-b9d2-aaf5605a4c4b
68952857-2d9f-416d-b750-db75427b9613,SOL-PERP,long,CLOSED,Mean Reversion:long,mean_reversion_edge,2026-05-26T14:40:47.567Z,2026-05-26 16:40:47,2026-05-26T14:42:48.046Z,2026-05-26 16:42:48,2.008,85.045,84.761,0.13,0.13,11.0559,-33.3941,-3.7627,-3.7627,,false,false,false,false,-0.03692,0.009536,-0.046456,false,STOP_LOSS_TRIGGERED,STOP_LOSS,FILLED_FROM_SYNC,ORDER_ID,51a2937d-e006-45a2-b341-f35f7732410e,1c961005-1565-48b3-86d0-9db2d077da2d|b6b3b665-f4cf-4fc5-a9a3-f9b214b121a7,3d789d52-fe94-43db-8b2e-1f3bc1024f2f,cee8c382-1d2a-4604-8895-e653b8d7fb6a
6cc3a7b5-83e9-46ee-b9a0-3750c73e8fbd,SOL-PERP,long,CLOSED,Mean Reversion:long,mean_reversion_edge,2026-05-26T15:04:28.426Z,2026-05-26 17:04:28,2026-05-26T15:05:29.837Z,2026-05-26 17:05:29,1.024,85.00099999999999,85.151,0.27,0.27,22.9503,17.6469,3.8823,3.8823,0,false,false,false,false,0.0405,0.019845,0.020655,true,TAKE_PROFIT_TRIGGERED,TAKE_PROFIT,FILLED_FROM_SYNC,ORDER_ID,85d273f0-0e29-4d15-9c30-369d23d0b1fb,9007f9d7-1371-4df6-9610-2dcbf784ca6c|5f19b3e7-a7c5-472f-bb65-5157cd682346,4513030d-686a-466b-b0d4-e1e200bf1df9|f12922f2-1a79-48e3-9c34-1fdacdfcde8e,8d2b4bdf-7507-40d5-9d33-0e0bcde49374
